"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.699077500E0,1.089627540E-1,-2.227283379E-1,6.949797626E0
2.709057500E0,4.369339205E-1,-6.267434576E-1,7.180184940E0
2.719038500E0,6.384042674E-1,-1.010029321E0,6.767509509E0
2.729019500E0,8.071286718E-1,-1.214546798E0,5.813756130E0
2.738999500E0,8.458155316E-1,-1.310507208E0,4.401828382E0
2.748980500E0,7.818108127E-1,-1.265887690E0,2.800479498E0
2.758961500E0,7.117798803E-1,-1.102252191E0,1.333289714E0
2.768941500E0,7.138899212E-1,-1.034699893E0,9.667260110E-2
2.778922500E0,7.085332138E-1,-1.070704123E0,-9.172252375E-1
2.788903500E0,5.873980551E-1,-1.114106836E0,-1.527761090E0
2.798883500E0,4.670623935E-1,-1.115137115E0,-1.752511688E0
2.808864500E0,4.352003307E-1,-1.150492305E0,-1.774530548E0
2.818845500E0,4.154213198E-1,-1.278526447E0,-1.822156119E0
2.828825500E0,4.661663443E-1,-1.381533337E0,-2.011684259E0
2.838806500E0,5.949798108E-1,-1.476878035E0,-2.194319701E0
2.848787500E0,6.825830515E-1,-1.625161085E0,-2.290559608E0
2.858767500E0,7.312103241E-1,-1.750675662E0,-2.306872755E0
2.868748500E0,6.463156964E-1,-1.831538562E0,-2.200983773E0
2.878729125E0,6.524931335E-1,-1.814406804E0,-2.001941044E0
2.888710125E0,7.304006309E-1,-1.795297519E0,-1.968964502E0
2.898691125E0,7.032314703E-1,-1.727925315E0,-2.050822597E0
2.908671125E0,5.595426507E-1,-1.469228123E0,-2.064986308E0
2.918652125E0,3.029787415E-1,-1.248339611E0,-2.107812485E0
2.928633125E0,7.277225330E-2,-1.051922282E0,-2.163608370E0
2.938613125E0,-2.597450137E-2,-8.066017646E-1,-2.122747443E0
2.948594125E0,-1.319036834E-2,-5.759852403E-1,-2.083469356E0
2.958575125E0,-3.050441243E-2,-3.738218522E-1,-2.038866211E0
2.968555125E0,1.237278141E-2,-1.213899511E-1,-1.987713599E0
2.978536125E0,-6.840321377E-2,1.312945497E-1,-1.873860708E0
2.988517125E0,-2.369983216E-1,4.401421416E-1,-1.630499593E0
2.998497125E0,-9.567901298E-2,6.631914917E-1,-1.331801013E0
3.008478125E0,3.621973682E-1,7.817130911E-1,-9.850722349E-1
3.018459125E0,9.196918854E-1,8.570243517E-1,-5.636721736E-1
3.028439125E0,1.243838425E0,9.250771710E-1,-2.026937306E-1
3.038420125E0,1.335370300E0,1.052579509E0,1.676186228E-1
3.048401125E0,1.469128135E0,1.340862736E0,4.575387776E-1
3.058381125E0,1.446219037E0,1.573883927E0,6.756375825E-1
3.068362125E0,1.068480281E0,1.685690292E0,9.972747892E-1
3.078343125E0,7.452405719E-1,1.768959028E0,1.285333191E0
3.088323125E0,5.730307154E-1,1.748113997E0,1.474947284E0
3.098304125E0,4.229429222E-1,1.739080049E0,1.585685363E0
3.108285125E0,2.455618612E-1,1.779743925E0,1.650391821E0
3.118265125E0,-8.185860716E-2,1.765597172E0,1.765006603E0
3.128246125E0,-2.633363736E-1,1.892670617E0,2.039577232E0
3.138227125E0,-1.972007831E-1,2.021159380E0,2.498997644E0
3.148207125E0,-1.149776021E-1,1.996563652E0,2.812332389E0
3.158188125E0,-2.925742060E-2,1.974495091E0,3.007464500E0
3.168169125E0,5.406825297E-2,1.933869221E0,3.003259183E0
3.178149125E0,-4.037210047E-3,1.894654869E0,2.749888803E0
3.188130125E0,-4.483633268E-1,1.894606045E0,2.370963501E0
3.198111125E0,-9.738491622E-1,1.823009813E0,2.041117973E0
3.208091125E0,-1.186238600E0,1.649521755E0,1.992864996E0
3.218072125E0,-1.342057907E0,1.254204953E0,2.256410115E0
3.228053125E0,-1.556625724E0,7.396262947E-1,3.075942412E0
3.238033125E0,-1.480189021E0,2.584951714E-1,4.090831354E0
3.248014125E0,-1.035438908E0,-2.993689629E-1,4.874336616E0
3.257995125E0,-8.139876750E-1,-8.227023652E-1,5.135208973E0
3.267975125E0,-7.614924692E-1,-1.224005254E0,4.704279705E0
3.277956125E0,-7.860661239E-1,-1.509567479E0,3.758851007E0
3.287937125E0,-8.895532894E-1,-1.590974169E0,2.463882775E0
3.297917125E0,-9.262857174E-1,-1.666824836E0,1.050757517E0
3.307898125E0,-9.290814174E-1,-1.690424198E0,-3.335889155E-1
3.317879125E0,-8.694465420E-1,-1.654889499E0,-1.468890154E0
3.327859125E0,-8.459804231E-1,-1.609618601E0,-2.243856727E0
3.337840125E0,-8.623222214E-1,-1.599421057E0,-2.579899135E0
3.347821125E0,-1.039415892E0,-1.554013919E0,-2.544598324E0
3.357801125E0,-1.168375137E0,-1.454126519E0,-2.430989848E0
3.367782125E0,-9.879872181E-1,-1.447915022E0,-2.326573779E0
3.377763125E0,-5.717725407E-1,-1.433705118E0,-2.301447124E0
3.387743125E0,-6.212359652E-2,-1.397614934E0,-2.474138206E0
3.397724125E0,4.284829397E-1,-1.376656759E0,-2.682742302E0
3.407705125E0,7.423195953E-1,-1.334060377E0,-2.796194658E0
3.417685125E0,9.484313158E-1,-1.305366921E0,-2.906895899E0
3.427666125E0,1.216062250E0,-1.306724060E0,-2.999513456E0
3.437647125E0,1.427563057E0,-1.290597439E0,-3.056787518E0
3.447627125E0,1.458208022E0,-1.227575564E0,-3.204833756E0
3.457608125E0,1.344972159E0,-1.156085751E0,-3.339893328E0
3.467589125E0,9.566674845E-1,-1.024356753E0,-3.366971199E0
3.477569125E0,5.215863639E-1,-8.259332442E-1,-3.322589078E0
3.487550125E0,2.467259322E-1,-6.502899027E-1,-3.263607629E0
3.497531125E0,9.965987049E-2,-4.967554682E-1,-3.041052076E0
3.507511125E0,-2.196486460E-2,-3.703918755E-1,-2.768666552E0
3.517492125E0,-2.390317456E-1,-2.909679759E-1,-2.443359048E0
3.527473125E0,-3.412853862E-1,-1.513721341E-1,-2.215253903E0
3.537453125E0,-2.968857966E-1,-1.198094487E-3,-2.080744554E0
3.547434125E0,-2.386541434E-1,1.568381113E-1,-1.908873251E0
3.557415125E0,-1.884182104E-1,3.287269557E-1,-1.655255535E0
3.567395125E0,-1.745475185E-1,5.031879902E-1,-1.313125591E0
3.577376125E0,-1.954327678E-1,6.452683139E-1,-9.243804753E-1
3.587357125E0,-1.543078383E-1,7.967983228E-1,-5.035651356E-1
3.597337125E0,8.340377958E-2,8.374206841E-1,-2.777497602E-1
3.607318125E0,4.625457484E-1,9.839928389E-1,-1.420850015E-1
3.617299125E0,4.186951393E-1,1.127278274E0,-7.468648553E-2
3.627279125E0,2.708706206E-1,1.291344713E0,-6.783881128E-2
3.637260125E0,2.885700510E-1,1.418777761E0,-5.237877309E-2
3.647241125E0,2.138241249E-1,1.456505166E0,1.642599821E-2
3.657221125E0,1.981240402E-2,1.459850943E0,2.855686569E-1
3.667202125E0,-1.059364180E-1,1.447471803E0,7.161237037E-1
3.677183125E0,-1.941429634E-1,1.411964001E0,1.208989019E0
3.687163125E0,-5.449168731E-2,1.359154288E0,1.564106798E0
3.697144125E0,4.007864334E-1,1.360016168E0,1.622538024E0
3.707125125E0,9.729410896E-1,1.430196204E0,1.462968678E0
3.717105125E0,1.185837481E0,1.657307907E0,1.352453379E0
3.727086125E0,1.081433252E0,1.969141088E0,1.345290540E0
3.737067125E0,5.385706981E-1,2.195141820E0,1.378808534E0
3.747047125E0,-1.118688568E-1,2.220877170E0,1.565617719E0
3.757028125E0,-5.400082726E-1,1.970606400E0,2.032685704E0
3.767009125E0,-7.954742208E-1,1.429153646E0,2.877445813E0
3.776989125E0,-8.742091723E-1,6.905111450E-1,4.182902781E0
3.786970125E0,-7.198264530E-1,-1.151492178E-2,5.555378780E0
3.796951125E0,-2.636037740E-1,-5.915198305E-1,6.464244254E0
3.806931125E0,3.257242642E-1,-1.039080042E0,6.607661836E0
3.816912125E0,8.003909983E-1,-1.368513342E0,5.988145829E0
3.826893125E0,1.150866380E0,-1.513558204E0,4.849419876E0
3.836873125E0,1.277587676E0,-1.521465978E0,3.305097717E0
3.846854125E0,9.915578203E-1,-1.547430539E0,1.603432832E0
3.856835125E0,6.840618854E-1,-1.461127390E0,1.796849370E-2
3.866815125E0,4.111671415E-1,-1.412008440E0,-1.170052410E0
3.876796125E0,1.965166223E-1,-1.330763717E0,-1.988452687E0
3.886777125E0,3.812089961E-2,-1.349756058E0,-2.447025837E0
