"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.653526105E2,6.062187651E1,2.485610907E1,9.672063434E1,3.072930470E0,7.088774722E1,2.740516386E0,3.000000000E0
1.663525958E2,6.062188148E1,2.485614132E1,9.699578295E1,2.420133906E0,7.058690169E1,2.734150816E0,3.000000000E0
1.673525826E2,6.062188334E1,2.485615301E1,9.781830133E1,1.581615868E0,7.146932852E1,2.744278878E0,3.000000000E0
1.683525686E2,6.062188862E1,2.485616203E1,9.737283454E1,1.012233954E0,6.870166978E1,2.714520754E0,3.000000000E0
1.693525574E2,6.062188734E1,2.485618811E1,9.710928691E1,1.101497190E0,8.057273089E1,2.683148499E0,3.000000000E0
1.703525449E2,6.062188382E1,2.485622149E1,9.726585968E1,1.409495034E0,9.149245690E1,2.656611051E0,3.000000000E0
1.713525335E2,6.062187585E1,2.485625107E1,9.733237151E1,1.754316830E0,1.029879873E2,2.660247086E0,3.000000000E0
1.723525229E2,6.062187530E1,2.485627040E1,9.718665675E1,1.475912527E0,9.626499563E1,2.627234727E0,3.000000000E0
1.733525125E2,6.062188283E1,2.485627389E1,9.712444137E1,7.563298092E-1,6.447314511E1,2.605649872E0,3.000000000E0
1.743525056E2,6.062189256E1,2.485628038E1,9.719229021E1,8.765432269E-1,3.811536638E1,2.595861509E0,3.000000000E0
1.753524940E2,6.062190118E1,2.485628581E1,9.704005696E1,8.638633125E-1,3.073018202E1,2.602908839E0,3.000000000E0
1.763524876E2,6.062190792E1,2.485627893E1,9.705032219E1,6.391811724E-1,9.340355500E0,2.620519313E0,3.000000000E0
1.773524764E2,6.062191862E1,2.485626790E1,9.734273658E1,9.174757866E-1,3.517874356E2,2.635495418E0,3.000000000E0
1.783524679E2,6.062192561E1,2.485624638E1,9.748396444E1,9.992576794E-1,3.292023515E2,2.668256741E0,3.000000000E0
1.793524601E2,6.062192984E1,2.485622343E1,9.718035047E1,9.938294465E-1,3.099893650E2,2.666285804E0,3.000000000E0
